Journal Title,Publisher,ISSN,ISSN Online,Year Inception,Web Address,Field of Research,ABDC Rating 
Agricultural Economics,Elsevier ,0169-5150	,1574-0862	,1986	,http://au.wiley.com/WileyCDA/WileyTitle/productCd-AGEC.html,1402	,A 
Agricultural Economics and Rural Development,Institute of Agricultural Economics,	,	,2004	,http://www.eadr.ro/,1499	,C 
Agricultural Economics Research Review,Diva Enterprises Pvt. Ltd. ,0971-3441	,0974-0279	,1988	,http://www.indianjournals.com/ijor.aspx?target=ijor:aerr&type=home,1499	,C 
Agricultural Economics Review,Greek Association of Agricultural Economists,1109-2580	,	,2000	,http://www.eng.auth.gr/mattas/eng.htm,1499	,C 
Agricultural Finance Review,Emerald Group Publishing,0002-1466	,	,1938	,http://www.emeraldinsight.com/loi/afr,1502	,C 
Agriculture and Human Values,Springer International Publishing,0889-048X	,1572-8366	,1984	,http://springerlink.metapress.com/,1402	,B 
Air and Space Law,Kluwer Law International ,0927-3379	,1875-8339	,1974	,http://www.kluwerlawonline.com/,180105	,B 
AIS Educator Journal,AIS Educator Association,1935-8156	,	,2006	,http://www.aisej.com/loi/aise,1501	,C 
Akron Tax Journal,University of Akron,1044-4130	,	,1983	,http://www.heinonline.org/,180125	,B 
Alberta Law Review,University of Alberta,0002-4821	,	,1955	,http://www.heinonline.org/,180105	,B 
Algorithmic Finance,,2158-5571	,2157-6203	,2011	,http://www.iospress.nl/journal/algorithmic-finance/ ,1502	,C 
ALI - ABA Business Law Course Materials Journal,American Law Institute,1536-4445	,	,1976	,http://www.ali-aba.org/,180105	,C 
Aligarh Journal of Statistics,Aligarh Muslim University,0971-0388	,	,1981	,http://www.geocities.ws/aligarhjstatistics/,104	,C 
Alliance Journal of Business Research,Alliance Business Academy ,0973-0850	,0973-0850	,2005	,http://ajbr.org/index.htm,1503	,C 
"Alternatives: global, local, political",Sage Publications ,0304-3754	,2163-3150	,1974	,http://alt.sagepub.com,1503	,A 
American Bankruptcy Institute Law Review,LRP Publications,1068-0861	,	,1993	,http://www.heinonline.org/,180105	,B 
American Bankruptcy Law Journal,The National Conference of Bankruptcy Judges,0027-9048	,	,1926	,http://www.heinonline.org/,180105	,B 
American Behavioral Scientist,Sage Publications,0002-7642	,1552-3381	,1957	,http://abs.sagepub.com/,1503	,B 
American Business Law Journal,"John Wiley & Sons, Inc.",0002-7766	,1744-1714	,1963	,https://authorservices.wiley.com/bauthor/Aims_scope.asp?ref=0002-7766&site=1,180105	,B 
American Business Review,University of New Haven,0743-2348	,0743-2348	,1983	,http://journalseeker.researchbib.com/?action=viewJournalDetails&issn=07432348&uid=r59781,1503	,A 
American Economic Journal: Applied Economics,American Economic Association ,1945-7782	,1945-7790	,2009	,http://www.aeaweb.org/aej-applied/,1402	,A* 
American Economic Journal: Economic Policy,American Economic Association ,1945-7731	,1945-774x	,2009	,http://www.aeaweb.org/aej-policy/,1402	,A* 
American Economic Journal: Macroeconomics,American Economic Association ,1945-7707	,1945-7715	,2009	,http://www.aeaweb.org/aej-macro/,1402	,A* 
American Economic Journal: Microeconomics,American Economic Association ,1945-7669	,1945-7685	,2009	,http://www.aeaweb.org/aej-micro/,1402	,A* 
American Economist,Sage Publications ,0569-4345	,	,1956	,http://aex.sagepub.com/,1402	,C 
American Journal of Agricultural Economics,Oxford University Press ,0002-9092	,1467-8276	,1919	,http://ajae.oxfordjournals.org/,1402	,A* 
American Journal of Comparative Law,American Society of Comparative Law,0002-919X	,	,1952	,https://www.jstor.org/journal/amerjcomplaw,180105	,A 
American Journal of Economics and Sociology,"John Wiley & Sons, Inc. ",0002-9246	,1536-7150	,1941	,http://www.wiley.com/bw/journal.asp?ref=0002-9246,1402	,B 
American Journal of Evaluation,Sage Publications,1098-2140	,1557-0878	,1980	,http://aje.sagepub.com/,1503	,C 
American Journal of Finance and Accounting,Inderscience Publishers,1752-7767	,1752-7775	,2008	,http://www.inderscience.com/jhome.php?jcode=AJFA,1502	,C 
American Journal of International Law,American Society of International Law,0002-9300	,0272-5037	,1907	,http://www.jstor.org/stable/10.5305/amerjintelaw.109.3.fm?seq=1#page_scan_tab_contents,180105	,A* 
American Journal of Political Science,"John Wiley & Sons, Inc.",0092-5853	,1540-5907	,1950	,http://www.wiley.com/bw/journal.asp?ref=0092-5853,1599	,A* 
American Journal of Psychology,University of Illinois Press,0002-9556	,1939-8298	,1887	,http://www.press.uillinois.edu/journals/ajp.html,1503	,B 
American Journal of Public Health,The American Public Health Association,0090-0036	,1541-0048	,1911	,http://ajph.aphapublications.org/,1503	,A* 
American Journal of Recreation Therapy,Weston Medical Publishing,1539-4131	,	,2002	,http://ejournal.recreationtherapy.org/,1504	,C 
American Journal of Sociology,The University of Chicago Press,0002-9602	,1537-5390	,1895	,http://www.journals.uchicago.edu/,1503	,A* 
American Law and Economics Review,Oxford University Press ,1465-7252	,1465-7260	,1999	,http://aler.oxfordjournals.org/,1402	,B 
American Political Science Review,Cambridge University Press,0003-0554	,1537-5943	,1906	,http://journals.cambridge.org/action/displayJournal?jid=PSR,1599	,A* 
American Psychologist,American Psychological Association ,0003-066X	,1935-990X	,1946	,http://www.apa.org/pubs/journals/amp/,1503	,A* 
American Review of Political Economy,American Review of Political Economy,1551-1383	,	,2002	,http://www.arpejournal.com/,1499	,C 
American Review of Public Administration,Sage Publications,0275-0740	,1552-3357	,1967	,http://arp.sagepub.com/,1503	,B 
American Sociological Review,Sage Publications,0003-1224	,1939-8271	,1936	,http://asr.sagepub.com/,1503	,A* 
Analisis: cuadernos de investigacion,Centre for Latin American Monetary Studies (CEMLA),0252-8851	,	,1977	,http://www.cemla.org/cuadernosinvestigacion.html,1402	,C 
Anatolia,Taylor & Francis Online,1303-2917	,2156-6909	,1990	,http://www.tandfonline.com/toc/rana20/current,1506	,B 
Annals - Economy Series,Academica Brancusi,1844-7007	,	,2009	,http://www.utgjiu.ro/revista/?s=ec,1499	,C 
Annals of Actuarial Science,Cambridge University Press,1748-4995	,1748-5002	,2006	,http://journals.cambridge.org/action/displayJournal?jid=AAS,1502	,A 
Annals of Applied Probability,Project Euclid,1050-5164	,	,1991	,http://projecteuclid.org/,104	,A* 
Annals of Applied Statistics,Institute of Mathematical Statistics,1932-6157	,1941-7330	,2007	,http://www.imstat.org/aoas/,104	,A* 
Annals of Economics and Finance,Peking University Press,1529-7373	,	,2000	,http://aeconf.com,1502	,C 
Annals of Finance,Springer International Publishing,1614-2446	,1614-2454	,2005	,http://www.springer.com/,1502	,B 
Annals of Leisure Research,,1174-5398	,2159-6816	,1998	,http://www.tandfonline.com/toc/ranz20/current,1504	,B 
Annals of Operations Research,Springer International Publishing,0254-5330	,1572-9338	,1984	,http://springerlink.metapress.com/,1503	,A 
Annals of Probability,Project Euclid,0091-1798	,	,1973	,http://projecteuclid.org/,104	,A* 
Annals of Public and Cooperative Economics,"John Wiley & Sons, Inc.",1370-4788	,1467-8292	,1908	,http://www.wiley.com/,1402	,B 
Annals of Statistics,Project Euclid,0090-5364	,	,1973	,http://projecteuclid.org/,104	,A* 
Annals of the American Academy of Political and Social Science,Sage Publications,0002-7162	,1552-3349	,1891	,http://ann.sagepub.com/,1599	,B 
Annals of the Institute of Statistical Mathematics,Springer International Publishing,0020-3157	,1572-9052	,1949	,http://www.springerlink.com/,104	,A 
Annals of Tourism Research,Elsevier ,0160-7383	,1873-7722	,1973	,http://www.journals.elsevier.com/annals-of-tourism-research,1506	,A* 
Annual Editions: Economics,Dushkin Publ. Group,1092-776X	,	,1971	,http://www.mhhe.com/cls/,1402	,C 
Annual Review of Banking and Financial Law,Boston University School of Law,1544-4627	,	,1982	,http://www.bu.edu/rbfl/,180105	,C 
Annual Review of Economics,Annual Reviews ,1941-1383	,1941-1391	,2009	,http://www.annualreviews.org/journal/economics,1402	,B 
Annual Review of Financial Economics,Annual Reviews ,1941-1367	,1941-1375	,2009	,http://www.annualreviews.org/journal/financial,1402	,B 
Annual Review of Organizational Psychology and Organizational Behavior,Annual Reviews,2327-0616	,	,2014	,http://www.annualreviews.org/journal/orgpsych,1503	,A* 
Annual Review of Psychology,Annual Reviews ,0066-4308	,1545-2085	,1950	,http://arjournals.annualreviews.org/,1503	,A* 
Annual Review of Resource Economics,Annual Reviews ,1941-1340	,1941-1359	,2009	,http://www.annualreviews.org/journal/resource,1402	,B 
Annual Review of Sociology,Annual Reviews ,0360-0572	,1545-2115	,1975	,http://arjournals.annualreviews.org/,1503	,A* 
Anti Trust Law Journal,American Bar Association ,0003-6056	,	,1952	,http://www.americanbar.org/groups/antitrust_law/publications/antitrust_law_journal.html,180105	,A 
Antitrust Law Bulletin,Sage Publications,0003-603X	,1930-7969	,1955	,http://abx.sagepub.com/,180105	,B 
APPETITE,Elsevier,0195-6663	,	,2011	,http://www.journals.elsevier.com/appetite/editorial-board,1505	,A 
